Name;Category;Icon;Image;Id1;Id2;Id3;Id4
The Hives;Entertainment;thehivesicon.jpg;thehives.jpg;The Hives;the hives;s
Stellan Skarsgård;Entertainment;stellanskarsgardicon.jpg;stellanskarsgard.jpg;Stellan Skarsgård;Stellan Skarsgard;stellan skarsgård;stellan skarsgard
Alexander Skarsgård;Entertainment;alexanderskarsgardicon.jpg;alexanderskarsgard.jpg;Alexander Skarsgård;Alexander Skarsgard;alexander skarsgård;alexander skarsgard
Noomi Rapace;Entertainment;noomirapaceicon.jpg;noomirapace.jpg;Noomi Rapace;Noomi Rapace;noomi rapace;noomi
ABBA;Entertainment;abbaicon.jpg;abba.jpg;Abba;ABBA;abba;swedish abba
Malin Åkerman;Entertainment;malinakermanicon.jpg;malinakerman.jpg;Malin Åkerman;Malin Akerman;malin åkerman;malin akerman
Roxette;Entertainment;roxetteicon.jpg;roxette.jpg;Roxette;ROXETTE;roxette;roxett musik
The Cardigans;Entertainment;thecardigansicon.jpg;thecardigans.jpg;The Cardigans;The Cardigans;the cardigans;thecardigans
Greta Garbo;Entertainment;getagarboicon.jpg;getagarbo.jpg;Greta Garbo;Greta Garbo;greta garbo;gretagarbo
Ingrid Bergman;Entertainment;ingridbergmanicon.jpg;ingridbergman.jpg;Ingrid Bergman;Ingrid Bergman;ingrid bergman;ingridbergman
Peter Stormare;Entertainment;peterstormareicon.jpg;peterstormare.jpg;Peter Stormare;Peter Stormare;peter stormare;peterstormare
;;;;;;
Zlatan Ibrahimovic;Sports;zlatanicon.jpg;zlatan.jpg;Zlatan Ibrahimovic;Zlatan;zlatan ibrahimovic;zlatan
Henrik Zetterberg;Sports;henrikzetterbergicon.jpg;henrikzetterberg.jpg;Henrik Zetterberg;Henrik Zetterberg;henrik zetterberg;Zäta
Peter Forsberg;Sports;foppaicon.jpg;foppa.jpg;Peter Forsberg;Peter Forsberg;peter forsberg;Foppa
Sven-Göran Eriksson;Sports;svengoranerikssonicon.jpg;svengoraneriksson.jpg;Sven-Göran Eriksson;Sven-Goran Eriksson;sven goran eriksson;Svennis
Björn Borg;Sports;bjornborgicon.jpg;bjornborg.jpg;Björn Borg;Bjorn Borg;bjorn borg;björn borg
Annika Sörenstam;Sports;annikasorenstamicon.jpg;annikasorenstam.jpg;Annika Sörenstam;Annika Sorenstam;annika sorenstam; annika
Therese Alshammar;Sports;theresealshammaricon.jpg;theresealshammar.jpg;Therese Alshammar;Therese Alshammar;therese alshammar; tessan
Fredrik Ljungberg;Sports;fredrikljungbergicon.jpg;fredrikljungberg.jpg;Fredrik Ljungberg;Fredrik Ljungberg;fredrik ljungberg; fredde
Paolo Roberto;Sports;paolorobertoicon.jpg;paoloroberto.jpg;Paolo Roberto;Paolo Roberto;paolo roberto; paolo